hotel_id,hotel_name,total_rooms,company_name,hotel_price,city,address,map_link,company_id
107,Đà Nẵng Mikazuki,342,Tập đoàn Khách sạn Mikazuki ,2500000,Đà Nẵng,"Nguyễn Tất Thành, Hoà Hiệp Nam, Liên Chiểu, Đà Nẵng",https://maps.app.goo.gl/re6PYnxDooq39zLVA,103
108,Grand Ocean Bay Resort Phú Quốc,144,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN OCEAN HOUSE  PHÚ QUỐC,3000000,Phú Quốc,"Tổ 5, Ấp Ông Lang, Xã Cửa Dương, Huyện Phú Quốc, Tỉnh Kiên Giang",https://maps.app.goo.gl/FFkGAqs5ib6Xq3WM9,102
109,Lady Hill Sapa Resort,154,Lady Hill Sapa Resort,2950000,SAPA,"Số 4, Nguyễn Chí Thanh, Fansipan, Sapa",https://maps.app.goo.gl/rn8kSC8vyY1TuHPT8,104
110,Fusion Resort & Villas Đà Nẵng,300,Công ty TNHH Khách sạn và Biệt thự Nam Phát,6500000,Đà Nẵng,"1022 Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/4WNmwgiXehqnSyE26,105
111,Santa Garden Resort Phú Quốc,53,SANTA RESORT,1000000,Phú Quốc,"Tổ 1, Ấp Cửa Lấp, xã Dương Tơ, TP. Phú Quốc, Tỉnh Kiên Giang",https://maps.app.goo.gl/KNhLcJdqPJTHv56H9,106
112,Sapa Jade Hill Resort & Spa,66,CÔNG TY CP QUẢN LÝ DỊCH VỤ CAO CẤP ĐỒI NGỌC SA PA,2700000,SAPA," Tổ 3, Phường Cầu Mây, Sapa, Lao Cai",https://maps.app.goo.gl/WsV1vYmnECErZK6d9,107
113,Pao's Sapa Leisure Hote,223,CTX Holdings,2500000,SAPA,"Đường Mường Hoa, Tổ 1, Phường Cầu Mây, Thị Xã Sa Pa, Tỉnh Lào Cai",https://maps.app.goo.gl/qRUJN86g9dvZT3Si7,108
114,KK Sapa,186,CÔNG TY CỔ PHẦN KK SAPA,2500000,SAPA,"036 Đường Mường Hoa, Phường Sapa, Thị Xã Sapa, Tỉnh Lào Cai",https://maps.app.goo.gl/pHF4xj24m8gcTAMt9,109
115,Silk Path Grand Sapa Resort & spa,152,SILK PATH HOTELS & RESORTS,2800000,,"Đồi Quan 6, tổ 5, phường Sa Pa, thị xã Sa Pa, Lào Cai",https://maps.app.goo.gl/bF6GGmswJsz8M5EB8,110
116,Lahana Resort Phú Quốc,83,Công ty TNHH Ha Na Station Phú Quốc,2500000,Phú Quốc,"91/3 Đường Trần Hưng Đạo, Phường Dương Đông, Thành Phố Phú Quốc, Tỉnh Kiên Giang.",https://maps.app.goo.gl/mjWbBd5NQj5b9RtG8,111
117,Best Western Premier Sonasea Phú Quốc Resort ,566,Tập đoàn CEO,3000000,Bà Rịa - Vũng Tàu,"Khu tổ hợp du lịch Sonasea Villas và Resort, Tổ 5, Ấp Đường Bào, Xã Dương Tơ, Thành phố Phú Quốc, Tỉnh Kiên Giang.",https://maps.app.goo.gl/Aopuz2EDTc3MeU5f8,112
118,The Ocean Resort Đà Nẵng,300,VINACAPITAL DANANG RESORT LIMITED,2800000,Đà Nẵng,"Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/FMRE56XCvB2GqHEH9,113
119,Bauhinia Resort & Spa Phú Quốc,39,BAUHINIA RESORT  PHU QUOC,1000000,Phú Quốc,"Ngõ 91 đường Trần Hưng Đạo, Khu phố 7, thị trấn Dương Đông, Phú Quốc, Kiên Giang",https://maps.app.goo.gl/k7b7dndumgA75FCZ6,114
120,Furama Resort Đà Nẵng,1,CÔNG TY CỔ PHẦN KHU DU LỊCH BẮC MỸ AN,4500000,Đà Nẵng,"105 Võ Nguyên Giáp, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/egf417uLRK1gLp8s7,115
121,Delasol Phát Linh Sapa,65,KHÁCH SẠN DELASOL PHAT LINH SAPA,1550000,SAPA,"Số nhà 16, đường Mường Hoa, phường Sapa, Thị xã Sapa, Tỉnh Lào Cai,",https://maps.app.goo.gl/SgsoEKcFHsGs7FEh7,116
122,PISTOCHIO Hotel Sapa,106,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG ĐỨC TUẤN-KS PISTACHIO,2000000,,"""Số 29, tổ 5 đường Thác Bạc, thị xã Sapa , Tỉnh Lào Cai""",https://maps.app.goo.gl/x1Tz9aXNWkh9YZeDA,117
123,Sapa Cat Cat Hills Resort & Spa   ,60,Sapa Cat Cat Hills Resort & Spa   ,2500000,,"86 Fansipan, Sapa, Lao Cai",https://maps.app.goo.gl/eyGw6F7Ektu3CBVC6,118
