room_id,ship_id,room_name,size,max_persons,room_price,room_features
1,41,Phòng Premium Suite,40,2,5050000,"Nhìn ra biển, Điều hòa, Wi-Fi, Ban công riêng"
2,41,Phòng Royal Suite ,56,2,7050000,"Nhìn ra biển, Hồ bơi có tầm nhìn, Điều hòa, Wi-Fi, Ban công riêng"
3,41,Phòng Grand Suite,85,2,7800000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,41,Phòng Presidential ,200,2,15050000,"Nhìn ra biển, Cửa sổ từ sàn đến trần, Wi-Fi, Điều hòa, Ban công riêng, Két an toàn"
1,42,Phòng Deluxe,21,2,2900000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,42,Phòng Triple Deluxe ,28,3,2900000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,42,Phòng Junior,22,2,3050000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,42,Phòng Senior,38,2,3150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
5,42,Phòng Royal,30,2,3700000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,43,Phòng Junior Suite,28,2,3900000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,43,Phòng Senior Suite,30,2,4250000,"Nhìn ra biển, Wi-Fi, Ban công riêng"
3,43,Phòng Family Senior Suite Gia đình,50,4,4250000,"Ban công riêng, Điều hòa, Wi-Fi"
4,43,Phòng Royal Suite Terrace có ban công riêng,47,2,5650000,"Nhìn ra biển, Wi-Fi, Ban công riêng"
5,43,Phòng President Suite Terrace và Jacuzzi,64,2,6650000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
1,44,Phòng Junior Suite,28,2,3550000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa, Sạc điện thoại"
2,44,Phòng Senior Suite,28,2,3700000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
